City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,nhulunbuy,-12.2333,136.7667,26.34,89,100,2.06,AU,1676470330
100,lebu,-37.6167,-73.65,17.06,77,19,8.88,CL,1676470331
101,lata,40.1629,-8.3327,21.15,42,43,2.79,PT,1676470332
102,aitape,-3.1374,142.3475,25.28,92,100,2.65,PG,1676470333
103,cidreira,-30.1811,-50.2056,25.47,79,90,3.78,BR,1676470334
104,vaini,-21.2,-175.2,26.45,84,99,3.7,TO,1676470335
105,portland,45.5234,-122.6762,0.14,94,100,0.45,US,1676469976
106,samfya,-11.3649,29.5565,26.4,62,70,2.97,ZM,1676470337
107,qaanaaq,77.484,-69.3632,-30.81,71,79,3.18,GL,1676470338
108,kalmunai,7.4167,81.8167,23.81,73,3,4.24,LK,1676470339
109,yumen,40.2833,97.2,0.16,40,100,3.14,CN,1676470341
110,dzidzantun,21.25,-89.05,23.45,73,0,3.27,MX,1676470342
111,itacoatiara,-3.1431,-58.4442,27.64,75,100,1.97,BR,1676470343
112,ostrovnoy,68.0531,39.5131,-1.89,93,98,11.35,RU,1676470345
113,lydenburg,-25.0978,30.4597,25.78,49,71,1.5,ZA,1676470346
114,ahipara,-35.1667,173.1667,17.44,88,100,3.34,NZ,1676470347
115,iqaluit,63.7506,-68.5145,-20.17,70,100,4.02,CA,1676470348
116,camacupa,-12.0167,17.4833,26.72,51,58,2.0,AO,1676470349
117,kavieng,-2.5744,150.7967,27.7,78,100,3.5,PG,1676470350
118,hobart,-42.8794,147.3294,17.25,83,98,0.0,AU,1676470138
119,ixtapa,20.7,-105.2,18.46,94,20,1.03,MX,1676470353
120,rio grande,-32.035,-52.0986,25.06,70,99,6.14,BR,1676470187
121,oranjemund,-28.55,16.4333,20.94,76,1,10.26,NA,1676470355
122,longyearbyen,78.2186,15.6401,-3.09,86,75,6.69,SJ,1676470356
123,kitob,39.0843,66.8332,9.32,83,100,1.25,UZ,1676470357
124,rantepao,-2.9701,119.8978,19.64,95,100,1.6,ID,1676470358
125,pacific grove,36.6177,-121.9166,7.1,68,0,2.57,US,1676470359
126,hasaki,35.7333,140.8333,1.23,54,24,10.19,JP,1676470360
127,oktyabrskiy,54.4815,53.471,-7.78,95,100,4.02,RU,1676470361
128,aklavik,68.2191,-135.0107,-32.6,99,16,3.6,CA,1676470362
129,chadiza,-14.0678,32.4392,23.09,87,100,1.19,ZM,1676470363
